model,cv_rmse_mean,cv_rmse_std,cv_r2_adj_mean,cv_r2_adj_std
Linear Regression,4.770203577,0.360303404,0.381379182,0.108787439
Random Forest,1.816711313,0.218013814,0.909862522,0.020888972
Extra Trees,2.46628929,0.171526135,0.835265351,0.022214537
GBR,2.074527846,0.249290947,0.882563794,0.02767103
ADA,3.753164808,0.136189149,0.619323455,0.031699616
