model,cv_rmse_mean,cv_rmse_std,cv_r2_adj_mean,cv_r2_adj_std
Linear Regression,4.770203577350399,0.3603034035912483,0.3813791819243275,0.10878743884284367
Random Forest,1.816711313294166,0.21801381363266503,0.9098625220258066,0.02088897228247618
Extra Trees,2.466289289665639,0.1715261349812428,0.8352653512616222,0.022214537284415435
GBR,2.0745278458693095,0.2492909470915929,0.8825637937502144,0.027671030125346555
ADA,3.753164807554654,0.13618914933163598,0.6193234551890321,0.031699616492225795
