mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_max_depth,param_learning_rate,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.5314023971557618,0.17816220594661014,0.007836532592773438,0.0033519160956793663,200,3,0.2,"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.2}",-3.2474572458550717,-3.529055529264512,-3.1662221250040297,-2.875309670055709,-3.6593946883132555,-3.2954878516985153,0.2766038023103506,13
0.5625040054321289,0.1421224812740231,0.011771059036254883,0.012951018295824651,200,2,0.1,"{'n_estimators': 200, 'max_depth': 2, 'learning_rate': 0.1}",-7.892577517093257,-7.613047183197492,-7.921657565053201,-7.311232408147407,-7.684002748108654,-7.684503484320002,0.22089563650595093,29
0.3296823024749756,0.11549556716698249,0.013054418563842773,0.009678256565010562,50,6,0.1,"{'n_estimators': 50, 'max_depth': 6, 'learning_rate': 0.1}",-3.866383341964248,-3.5034335141207484,-3.03873188954813,-3.397198206817386,-3.7734724927284824,-3.515843889035799,0.2936382403127168,16
0.3654360771179199,0.11254700874164476,0.010447025299072266,0.0120024343993429,50,6,0.05,"{'n_estimators': 50, 'max_depth': 6, 'learning_rate': 0.05}",-5.997784087659204,-6.1291054837666,-5.2676239689154,-5.835257875318773,-5.578395656350289,-5.761633414402053,0.3078456859187775,24
1.4203467845916748,0.3362259988299766,0.01236896514892578,0.005610681032754417,300,5,0.05,"{'n_estimators': 300, 'max_depth': 5, 'learning_rate': 0.05}",-3.0003071576290647,-3.170425364388679,-2.387604666721017,-2.1908595703166838,-3.020436282562058,-2.753926608323501,0.388957131193626,8
1.535701036453247,0.42787272873377336,0.024970388412475585,0.01675797862993019,300,4,0.05,"{'n_estimators': 300, 'max_depth': 4, 'learning_rate': 0.05}",-3.519946724645734,-4.47666170892292,-2.7618781257692797,-3.0734510019618,-3.5443393166611536,-3.475255375592178,0.5796444439934109,15
1.3700198173522948,0.154699212129787,0.011460113525390624,0.004072811437096639,150,6,0.01,"{'n_estimators': 150, 'max_depth': 6, 'learning_rate': 0.01}",-9.471521133205188,-9.28245678977987,-8.544232696570177,-9.37525446178343,-8.369104612556697,-9.008513938779071,0.45789088596421856,33
0.2668275833129883,0.06107790519351585,0.00814833641052246,0.005420098271756877,50,3,0.2,"{'n_estimators': 50, 'max_depth': 3, 'learning_rate': 0.2}",-5.327256849018771,-5.539965478826568,-5.980104448483681,-4.776219368986464,-5.380642896266787,-5.400837808316455,0.3875245891313459,22
0.22739057540893554,0.034652628535083586,0.005081319808959961,0.0009471200378204408,50,4,0.01,"{'n_estimators': 50, 'max_depth': 4, 'learning_rate': 0.01}",-25.976871672659716,-24.00697925313389,-22.346988561041723,-24.46803379206548,-23.077224010721505,-23.975219457924464,1.2416132987401476,48
0.14518990516662597,0.044101374538033734,0.00534672737121582,0.0009682508778615949,50,2,0.01,"{'n_estimators': 50, 'max_depth': 2, 'learning_rate': 0.01}",-31.94875766336116,-28.3617095227981,-25.923504713134477,-28.399548851403132,-28.01736071975041,-28.530176294089454,1.9385489266142713,50
