model,cv_rmse_mean,cv_rmse_std,cv_r2_adj_mean,cv_r2_adj_std
Linear Regression,4.635259481220552,0.24678840960318532,0.4172977097683133,0.07440269799889432
Random Forest,1.817260281302146,0.24065054512179757,0.9095157830305218,0.023150065756169975
Extra Trees,2.4680939261283283,0.20850339424642986,0.8343244817698559,0.027882939951365388
GBR,2.050365853007461,0.21242436347802793,0.8855269811485424,0.023030682945761227
ADA,3.731186375577695,0.10568839615688076,0.6237572473042549,0.024167117279918417
